"SEXO","ESTUDIOS","TIPO.JORNADA","TIPO.CONTRATO","SALARIO.BRUTO.ANUAL","SALARIO.ORDINARIO.ANUAL","FACTOR.ELEVACION"
"6","6",1,1,30994.99,27611.7,103.12
"6","3",2,1,18331.3401091662,16722.674571805,188.46
"6","6",1,1,20418.84,20418.84,8.2
"6","4",1,1,30344.87,26964.58,14.33
"1","3",1,1,20326.83,18635.03,11.82
"1","4",1,1,25053.76,18531.41,24.96
"6","4",2,1,6560.25,5037.24,62.29
"1","5",1,1,38336.8896061204,38336.8896061204,51.56
"1","4",1,1,47737.75,47737.75,74.89
"6","5",1,1,11697.614069691,10519.5711702827,26.9
"6","4",2,1,11657.27,11657.27,234.01
"1","6",1,1,19611.22,16036,16.9
"6","7",1,1,31492.87,29431.13,23.32
"6","3",1,1,14372.9,14372.9,7.75
"1","5",1,1,50000,45000,23
"6","3",1,1,20573,20573,256.33
"1","5",1,1,22132.38,20514.38,12.6
"1","3",1,1,38412.82,34732.36,42.33
"6","7",1,1,60164.56,57849,26.47
"6","4",1,1,21500.01,17420.88,16.16
"1","5",1,1,53405.09,41739.95,39.26
"1","4",1,1,32196.31,28189.63,344.57
"6","2",2,1,17898.8362800773,15807.5386394239,114.63
"1","2",1,1,20993.85,14613.66,101.65
"6","7",2,1,10800.7581734505,9405.81286235132,22.04
"6","7",1,1,21711.77,19514.94,21.96
"1","4",1,1,26123.7,21920.04,13.64
"6","5",1,1,14927.14,12470.22,93.4
"1","7",1,1,64591,61441.11,48.58
"1","2",1,1,14400,14400,32.6
"6","2",1,1,13091.59,11501.85,22.44
"1","4",1,1,18401.01,18394.22,17.05
"6","7",1,1,15060.8,13012.27,12.78
"6","3",2,1,3847.29,3847.29,49.25
"1","2",1,1,30098.2,30063.76,33.08
"6","5",1,2,26915.68,24460.52,32.36
"6","6",1,1,38698.52,33848.7,34.16
"1","6",1,1,31260.3,22888.44,50.68
"6","4",1,1,27752.34,20354.93,366.39
"1","3",1,1,17780.04,15239.41,29.01
"6","7",1,1,15570.3031015038,13513.1473214286,243
"1","1",1,1,41032.57,31468.45,10.41
"1","5",1,1,33365.82,29332.42,23.36
"6","7",1,1,80000.07,80000.07,22.84
"6","2",2,1,9925.92,9925.92,106.83
"6","3",2,1,23038.42,9851.4,83.52
"6","4",2,1,18573.04,16046.58,25.32
"1","5",1,1,26499.6606824926,21185.9321958457,74.64
"6","3",1,1,16669.0533235238,16669.0533235238,32.36
"1","3",1,1,39665.04,30414.17,503.05
